condition,carbon_factor,rule_order
641*,carbon_factor.null,5
6811,carbon_factor.null,5
6812,carbon_factor.null,5
6813,carbon_factor.null,5
6814,carbon_factor.null,5
6815,carbon_factor.null,5
6816,carbon_factor.null,5
6817,carbon_factor.null,5
6818,carbon_factor.null,5
6819,carbon_factor.null,5
682*,carbon_factor.null,5
683*,carbon_factor.null,5
684*,carbon_factor.null,5
685*,carbon_factor.null,5
686*,carbon_factor.null,5
687*,carbon_factor.null,5
688*,carbon_factor.null,5
689*,carbon_factor.null,5
609*,carbon_factor.null,5
611,carbon_factor.professional_services-type_other_business_services,10
614,carbon_factor.general_retail-type_retail_trade_except_of_motor_vehicles_motorcycles_repair_of_personal_household_goods_services,10
617,carbon_factor.professional_services-type_research_development_services,10
658,carbon_factor.organizational_activity-type_other_services_not_elsewhere_specified,10
678,carbon_factor.professional_services-type_other_business_services,10
6718,carbon_factor.professional_services-type_other_business_services,10
6042,carbon_factor.professional_services-type_other_business_services,10
6132,carbon_factor.real_estate-type_real_estate_services,10
6135,carbon_factor.equipment_rental-type_rental_of_machinery_equipment_without_operator_of_personal_household_goods,10
6182,carbon_factor.professional_services-type_other_business_services,10
6184,carbon_factor.education-type_education_services,10
6188,carbon_factor.professional_services-type_other_business_services,10
6574,carbon_factor.consumer_goods-type_recreational_cultural_sporting_services,10
6231,carbon_factor.professional_services-type_other_business_services,10
6232,carbon_factor.consumer_goods-type_beverages,10
6233,carbon_factor.consumer_goods-type_food_products_not_elsewhere_specified,10
6236,carbon_factor.paper_products-type_paper_paper_products,10
6237,carbon_factor.paper_products-type_printed_matter_recorded_media,10
6238,carbon_factor.consumer_goods-type_recreational_cultural_sporting_services,10
6064,carbon_factor.paper_products-type_paper_paper_products,10
6065,carbon_factor.paper_products-type_printed_matter_recorded_media,10
6067,carbon_factor.paper_products-type_paper_paper_products,10
6068,carbon_factor.paper_products-type_paper_paper_products,10
60611,carbon_factor.water-collected_purified_water_distribution_of_water_services,10
60612,carbon_factor.electricity-energy_source_unknown,10
60613,carbon_factor.heat_and_steam-type_steam_hot_water_supply_services,10
60618,carbon_factor.general_retail-type_retail_trade_except_of_motor_vehicles_motorcycles_repair_of_personal_household_goods_services,10
60621,carbon_factor.fuel_type_nonspecified_petroleum_products-fuel_use_na,10
60622,carbon_factor.fuel_type_motor_gasoline-fuel_use_na,10
60623,carbon_factor.consumer_goods-type_food_products_not_elsewhere_specified,10
60628,carbon_factor.consumer_goods-type_furniture_other_manufactured_goods_not_elsewhere_specified,10
6156,carbon_factor.construction-type_construction_work,10
61521,carbon_factor.construction-type_construction_work,10
61524,carbon_factor.timber_forestry-type_products_of_forestry_logging_related_services,10
61551,carbon_factor.vehicle_manufacture-type_sale_maintenance_repair_parts_accessories_motor_vehicles_motorcycles,10
61558,carbon_factor.professional_services-type_other_business_services,10
615221,carbon_factor.construction-type_construction_work,10
615228,carbon_factor.professional_services-type_other_business_services,10
615231,carbon_factor.construction-type_construction_work,10
615232,carbon_factor.professional_services-type_other_business_services,10
6281,carbon_factor.professional_services-type_other_business_services,10
657361,carbon_factor.consumer_goods-type_recreational_cultural_sporting_services,10
60636,carbon_factor.consumer_goods-type_wearing_apparel_furs,10
65736*,carbon_factor.organizational_activity-type_other_services_not_elsewhere_specified,20
6573*,carbon_factor.organizational_activity-type_membership_organisation_services_not_elsewhere_specified,30
6287*,carbon_factor.restaurants_accommodation-type_hotel_restaurant_services,30
6063*,carbon_factor.machinery-type_machinery_equipment_not_elsewhere_specified,30
624*,carbon_factor.passenger_vehicle-type_motor_vehicles_trailers_semitrailers-fuel_source_na-engine_size_na-vehicle_age_na-vehicle_weight_na,40
623*,carbon_factor.professional_services-type_other_business_services,40
621*,carbon_factor.organizational_activity-type_other_services_not_elsewhere_specified,40
628*,carbon_factor.domestic_services-type_private_households_with_employed_persons,40
616*,carbon_factor.insurance-type_insurance_pension_funding_services_except_compulsory_social_security_services,40
655*,carbon_factor.organizational_activity-type_membership_organisation_services_not_elsewhere_specified,40
626*,carbon_factor.communication_services-type_post_telecommunication,40
625*,carbon_factor.restaurants_accommodation-type_hotel_restaurant_services,40
622*,carbon_factor.professional_services-type_research_development_services,40
674*,carbon_factor.consumer_goods-type_recreational_cultural_sporting_services,40
62*,carbon_factor.organizational_activity-type_other_services_not_elsewhere_specified,50
63*,carbon_factor.organizational_activity-type_public_administration_defense_services_compulsory_social_security_services,50
64*,carbon_factor.organizational_activity-type_public_administration_defense_services_compulsory_social_security_services,50
65*,carbon_factor.organizational_activity-type_public_administration_defense_services_compulsory_social_security_services,50
66*,carbon_factor.financial_services-type_financial_intermediation_services_except_insurance_pension_funding_services,50
67*,carbon_factor.organizational_activity-type_public_administration_defense_services_compulsory_social_security_services,50
6*,carbon_factor.organizational_activity-type_other_services_not_elsewhere_specified,99
