Model,A1,A2,A3,B1,B2,B3,C1,C2,C3
Soyans,2.57,4.86,0,2.10,2.10,0.050,1.49,0.660,0.017
Florac,3.05,3.53,0,2.13,2.96,0.010,2.78,1.77,0.040
Vandenesse,3.970,6.48,0.010,1.910,1.910,0.097,3.674,1.774,0.013
