Model,A1,A2,A3,B1,B2,B3,C1,C2,C3
Soyans,0.87,4.6,0,1.07,2.50,0.099,0.569,0.690,0.046
Florac,1.12,3.56,0,0.95,3.18,0.039,1.56,1.91,0.085
Vandenesse,2.635,6.19,0.016,1.045,2.385,0.172,1.083,1.75,0
